"geneID","logfc.DE","B.DE","genes.location.DE","symbol.DE","M.ChIP","A.ChIP","log.p.ChIP","B.ChIP","p.DE","p.ChIP","B.nothing","B.DE.only","B.ChIP.only","B.ChIP.DE"
"ENSG00000174243",0.882551589117785,17.8111265068467,"chr12:49223896:49223945:-","DDX23",-0.371833469731918,-3.93895773236578,-0.530189734909431,0.357740245501844,0.999999981603888,0.588493301361766,-19.8408558642777,-2.66032534461216,-19.5293963704567,2.66032525102742
"ENSG00000170581",2.30281574347779,34.7886521795872,"chr12:56735441:56735490:-","STAT2",-0.584148173529931,-4.48508130479659,-0.875563684971102,-0.336634998445994,0.999999999999999,0.416627107037575,-36.1897037927076,-1.96595009454805,-36.5726195437176,1.96595009454805
"ENSG00000168394",2.79852955918289,35.3544925674426,"chr6_sso_hap7:4243883:4243932:-","TAP1",-0.248541893852437,-4.45643810013478,-1.96078711694725,-1.80909455556025,1,0.140747592493963,-35.6223513239889,-0.493490537433798,-37.4777266321132,0.493490537433797
"ENSG00000105705",0.119323815209981,-5.67712328950785,"chr19:19387781:19387830:-","SUGP1",-0.483515658546763,-3.40668375680018,-0.0306432149535105,3.46998328048645,0.00341171276916011,0.969821529175748,-3.4414375119334,-9.84820965016261,2.98608450620191,-4.05856787232606
"ENSG00000166924",0.100052852179642,-6.08881923194799,"chr7:100092234:100092283:+","NYAP1",-0.432103948037034,-3.44370206884817,-0.0388728597992589,3.22795957181887,0.00226295284678745,0.961872994098094,-3.19347374775951,-10.0206432245134,2.93030673603793,-4.47886058390728
"ENSG00000137845",0.101969912747849,-6.6126604056794,"chr15:58889101:58889150:-","ADAM10",-0.267415843666974,-3.07487581352409,-0.327338857870334,0.948629319225692,0.00134145188123914,0.720839439519532,-0.90959237961932,-8.55863653184459,0.884583663512488,-5.3026479392304
"ENSG00000179562",0.0643785990285366,-6.91165129422897,"chr7:127220731:127220780:-","GCC1",-0.416831001775137,-3.74212771078901,-0.0741965600423811,2.5637098406025,0.000995120313521692,0.928489172032622,-2.52264569799549,-10.2096348873456,2.45460675209403,-5.33858560418171
"ENSG00000167972",0.0414551184886776,-7.36855406030511,"chr16:2326150:2326199:-","ABCA3",-1.20849331279686,-4.74231737512732,-0.131125701188587,1.96531970226257,0.000630381957191518,0.87710751400423,-1.92236615228693,-10.125570031012,1.89658232683363,-5.85484339212066
"ENSG00000167671",0.0313538034603109,-7.57453021889493,"chr19:4445565:4445614:-","UBXN6",-0.398814652492032,-3.66716358873523,-0.0788281286052346,2.500812421511,0.000513098127862461,0.924198754124469,-2.4572248617731,-10.8121193963422,2.4236207127113,-6.00628183430644
"ENSG00000154217",0.0170707487210926,-7.62527456232173,"chr17:65683248:65683297:+","PITPNC1",-0.454688483044692,-3.43620923827069,-0.0356447799207835,3.31627723963043,0.000487723259304894,0.964983013951582,-3.27254499804976,-11.6332045742626,3.20501429660545,-6.0119046848993
"ENSG00000140941",0.0311877284107958,-7.52426912047247,"chr16:87438024:87438073:+","MAP1LC3B",-0.308170424770916,-3.19776962221869,-0.175517657776023,1.65097352549889,0.000539531818153477,0.839022581769835,-1.60755540052662,-10.0126002201066,1.59052778171125,-6.05674716362636
"ENSG00000168758",0.00644454414006024,-7.67178963983116,"chr2:97525755:97525804:-","SEMA4C",-0.582971397714095,-3.41772803787838,-0.0664815442046809,2.6774059771208,0.000465566639403222,0.935680184418944,-2.63356590416136,-11.0728848971869,2.59774755547846,-6.09064797203909
"ENSG00000104472",0.0086212421023184,-7.66652854970562,"chr8:141526889:141526938:+","CHRAC1",-0.406616325465511,-3.1012874659769,-0.132772591348989,1.95199674251028,0.000468021332605827,0.875664203083296,-1.90818735543677,-10.4111960862269,1.88921433653677,-6.1545227417482
"ENSG00000183826",0.0503417267935573,-7.2737967751292,"chr6:38142866:38142915:-","BTBD9",-0.711561131021467,-5.25576296570959,-0.52182937563977,0.378179480230946,0.000692993451155345,0.593433940771802,-0.335752212432187,-8.84688671749215,0.326532529600776,-6.1641646972808
"ENSG00000104093",0.00579252067323743,-7.67496788938093,"chr15:51742396:51742445:-","DMXL2",-0.313645668239886,-3.48448867657042,-0.13728349577891,1.91628027279162,0.000464089986977013,0.871723061290416,-1.87245138823912,-10.3885877773862,1.85419708165301,-6.16765924993604
"ENSG00000139910",0.0225470685231359,-7.59458197997746,"chr14:26949192:26949241:-","NOVA1",-2.52643352146994,-6.73175276196291,-0.300869792023654,1.04687386130716,0.000502917195002483,0.740174143049791,-1.00330324811643,-9.60837742061391,0.993238926217226,-6.25707060979981
"ENSG00000180777",0.00753566262548944,-7.67257817601185,"chr18:14797665:14797688:+,chr18:14797781:14797806:+","ANKRD30B",-0.0422341433644497,-5.96953971999722,-2.81616395496895,-2.75446403275891,0.000465199838682725,0.0598350329085236,2.79452867086285,-8.42989220525558,-2.80112361085774,-8.88185048894823
